Brand;Standing screen display size;Processor Brand;Processor Speed;RAM Size;Hard Drive Size;Hard Disk Description;Graphics Chipset Brand;Operating System;Item Weight;Price
Dell;15.6;Intel;1.8;8;256;SSD;Nvidia;Windows10;2.16;4916.9355
Asus;17.3;Intel;2;4;1000;HDD;Nvidia;Windows10;2;2453.4
Asus;15.6;Intel;1.8;8;256;SSD;Nvidia;Windows10;1.7;4863.3
Acer;15.6;Intel;2.4;6;1000;HDD;Intel;Windows10;2.1;2083.65
MSI;15.6;Intel;2.8;16;256;SSD;Nvidia;Windows10;1.8;9750.525
Lenovo;15.6;Intel;2.5;8;256;SSD;Nvidia;NoOS;2.2;2736.15
HP;17.3;Intel;1.8;16;512;SSD;Nvidia;Windows10;2.5;5528.85
Acer;15.6;AMD;3;4;256;SSD;AMD;Windows10;2.1;1961.85
HP;15.6;Intel;1.6;4;500;HDD;Intel;NoOS;1.86;1126.65
HP;14;Intel;1.6;8;1000;HDD;Intel;Windows10;1.63;3532.2
Asus;14;AMD;1.5;4;64;SSD;AMD;Windows10S;1.65;1209.2565
Dell;17.3;Intel;1.8;16;256;SSD;AMD;Windows10;2.8;6072.6
HP;17.3;Intel;1.6;8;256;SSD;Intel;Windows10;2.5;4036.8
Dell;15.6;Intel;2.5;8;1000;HDD;AMD;Windows10;2.36;2779.6065
Dell;15.6;Intel;2;4;1000;HDD;AMD;Windows10;2.2;1953.15
Acer;14;Intel;1.8;8;256;SSD;Intel;Windows10;1.6;3845.4
Acer;15.6;Intel;2.7;4;256;SSD;Nvidia;Windows10;2.2;2488.2
HP;15.6;Intel;2.7;8;1000;HDD;Intel;Windows10;2.05;2601.3
HP;14;Intel;1.8;8;256;SSD;Intel;Windows10;1.63;4297.8
Lenovo;15.6;Intel;1.1;4;1000;HDD;Intel;NoOS;1.9;1097.766
Asus;17.3;Intel;2.5;8;128;SSD;Nvidia;Windows10;3;4080.3
Lenovo;15.6;Intel;2.5;4;1000;HDD;Nvidia;NoOS;2.2;2170.65
HP;13.3;Intel;2.5;4;256;SSD;Intel;Windows10;1.32;3040.65
Acer;17.3;Intel;2.7;4;1000;HDD;Nvidia;Windows10;3;2849.25
Lenovo;14;Intel;1.6;8;256;SSD;AMD;Windows10;1.75;4854.687
Lenovo;15.6;Intel;2.8;8;256;SSD;Nvidia;NoOS;2.4;3780.15
Toshiba;15.6;Intel;2.3;4;500;HDD;Intel;Windows10;2.1;2618.7
HP;15.6;AMD;2.5;4;256;SSD;AMD;Windows10;1.86;1605.15
Asus;14;Intel;1.8;8;256;SSD;Intel;Windows10;1.25;4780.65
HP;12.5;Intel;1.2;8;512;SSD;Intel;Windows10;0.97;8760.9
Asus;15.6;Intel;1.1;4;1000;HDD;Intel;Windows10;2;1496.4
MSI;17.3;Intel;2.8;16;256;SSD;Nvidia;Windows10;2.9;8826.15
Acer;15.6;Intel;2;4;1000;HDD;Intel;Windows10;2.1;1944.45
Dell;15.6;Intel;2.8;16;512;SSD;Nvidia;Windows10;2.56;5434.281
Dell;15.6;Intel;2.8;8;512;Hybrid;Nvidia;Windows10;2.62;3910.65
Lenovo;15.6;Intel;2.5;4;128;SSD;Intel;Windows10;1.9;2166.3
MSI;17.3;Intel;2.8;16;256;SSD;Nvidia;Windows10;2.8;8221.5
HP;14;Intel;2.7;4;256;SSD;Intel;Windows10;1.48;4706.7
HP;15.6;Intel;1.6;6;256;SSD;AMD;Windows10;1.91;2692.65
Lenovo;14;Intel;2.4;4;256;SSD;Intel;Windows10;1.74;2736.15
Asus;13.3;Intel;1.6;8;256;SSD;Intel;Windows10;1.1;5720.25
Dell;15.6;Intel;1.8;8;256;SSD;Intel;Windows10;1.56;4563.15
Toshiba;15.6;Intel;2.2;4;500;HDD;Intel;Windows10;2.1;1944.45
Asus;15.6;AMD;3;4;1000;HDD;AMD;Windows10;2.03;1753.05
Acer;17.3;Intel;1.6;4;256;SSD;Nvidia;Windows10;3;3501.75
Dell;15.6;Intel;1.6;8;256;SSD;AMD;Windows10;2.13;3166.8
Lenovo;15.6;Intel;2.8;16;256;SSD;Nvidia;Windows10;2.5;4693.65
Acer;15.6;Intel;1.1;4;1000;HDD;Intel;Windows10;2.1;1513.8
MSI;15.6;Intel;2.8;16;256;SSD;Nvidia;Windows10;2.4;7825.65
Acer;15.6;Intel;1.1;4;1000;HDD;Intel;Windows10;2.1;1581.2685
Dell;15.6;Intel;2.8;8;128;SSD;Nvidia;Windows10;2.56;4613.1315
Acer;17.3;Intel;1.6;8;256;SSD;Nvidia;Windows10;3;3714.9
HP;13.3;Intel;1.6;4;500;HDD;Intel;Windows10;1.49;3279.9
Huawei;13;Intel;2.5;8;256;SSD;Intel;Windows10;1.05;5868.15
HP;17.3;Intel;2.5;6;2000;HDD;AMD;Windows10;2.71;3040.65
Lenovo;15.6;AMD;2.9;4;500;HDD;AMD;NoOS;2.2;1344.15
Toshiba;15.6;Intel;2.4;4;500;HDD;Intel;Windows10;2;2127.15
HP;17.3;Intel;1.6;8;256;SSD;Nvidia;Windows10;2.5;4015.05
Dell;15.6;Intel;2.4;8;1000;HDD;Intel;Windows10;2.3;1996.65
Acer;15.6;Intel;2;4;128;SSD;Intel;Windows10;2.1;1953.15
MSI;18.4;Intel;2.9;32;512;SSD;Nvidia;Windows10;4.4;12175.65
Lenovo;15.6;Intel;2.5;8;128;SSD;AMD;Windows10;1.9;3536.55
HP;13.3;Intel;1.6;8;256;SSD;Intel;Windows10;1.29;6520.65
Dell;15.6;Intel;1.8;16;256;SSD;AMD;Linux;2.02;4563.15
Dell;13.3;Intel;1.6;8;256;SSD;Intel;Windows10;1.23;6085.65
Lenovo;13.9;Intel;1.8;16;512;SSD;Intel;Windows10;1.4;8043.15
Toshiba;15.6;Intel;2.5;8;128;SSD;Intel;Windows10;2;3449.55
Xiaomi;15.6;Intel;1.6;8;256;SSD;Nvidia;NoOS;1.95;5215.65
Dell;17.3;Intel;1.8;16;512;SSD;Nvidia;Windows10;2.77;6738.15
Dell;15.6;Intel;2.8;16;512;SSD;Nvidia;Windows10;2.06;10426.95
Lenovo;15.6;Intel;2.5;8;256;SSD;Nvidia;NoOS;2.4;3388.65
Acer;13.3;Intel;1.2;8;256;SSD;Intel;Windows10;1.12;4302.15
Dell;17.3;Intel;1.8;8;128;SSD;AMD;Windows10;2.8;4719.75
Lenovo;14;Intel;2.7;16;1000;SSD;Intel;Windows10;1.42;12284.4
Vero;14;Intel;1.1;4;32;FlashStorage;Intel;Windows10;1.3;1131
Xiaomi;13.3;Intel;2.5;8;256;SSD;Nvidia;NoOS;1.3;4349.565
Lenovo;17.3;Intel;1.6;8;256;SSD;Nvidia;NoOS;2.8;3036.3
Dell;13.3;Intel;1.8;8;1000;HDD;Intel;Windows10;1.62;3649.65
HP;17.3;Intel;1.6;8;1000;HDD;Nvidia;Windows10;2.5;3975.9
Razer;17.3;Intel;2.9;32;1000;SSD;Nvidia;Windows10;3.49;26530.65
HP;13.3;Intel;1.6;8;512;SSD;Intel;Windows10;1.49;4171.65
HP;17.3;Intel;2.8;16;256;SSD;Nvidia;Windows10;3.35;5998.65
HP;17.3;Intel;1.8;8;256;SSD;Nvidia;Windows10;2.5;4545.75
Dell;15.6;Intel;2.8;16;512;SSD;Nvidia;Windows10;2.65;8025.75
Lenovo;15.6;Intel;2.3;4;128;SSD;Intel;Windows10;2.1;2144.55
Acer;15.6;Intel;2.7;8;1000;HDD;Nvidia;Windows10;2.23;3227.7
Lenovo;15.6;Intel;2.8;16;512;SSD;Nvidia;Windows10;3.2;7608.15
Dell;15.6;Intel;3;16;256;SSD;Nvidia;Windows10;2.8;13289.25
Lenovo;15.6;Intel;2.8;16;512;SSD;Nvidia;NoOS;2.4;6081.3
Dell;15.6;Intel;2.4;6;1000;HDD;Intel;Windows10;2.3;1909.65
Dell;13.3;Intel;1.8;8;256;SSD;Intel;Windows10;1.21;8478.15
Dell;13.3;Intel;1.8;8;256;SSD;Intel;Windows10;1.2;6303.15
Lenovo;15.6;Intel;2.5;8;256;SSD;Intel;Windows10;2.2;2596.95
Acer;15.6;Intel;2.8;8;1000;HDD;Nvidia;Linux;2.4;3388.65
Asus;17.3;Intel;2.8;16;256;SSD;Nvidia;Windows10;2.9;6120.45
HP;15.6;Intel;2;4;500;HDD;Intel;NoOS;2.1;1518.15
Lenovo;15.6;Intel;2.5;8;256;SSD;Intel;NoOS;2.2;2388.15
Huawei;13;Intel;2.7;8;512;SSD;Intel;Windows10;1.05;6520.65
Dell;13.3;Intel;1.8;8;256;SSD;AMD;Windows10;1.4;4053.678
Lenovo;17.3;Intel;2.5;8;1000;HDD;Nvidia;NoOS;2.8;2562.15
HP;14;Intel;1.8;8;256;SSD;Nvidia;Windows10;1.63;4484.85
Dell;14;Intel;1.6;8;256;SSD;Intel;Windows10;1.6;4998.15
Dell;13.3;Intel;1.8;16;512;SSD;Intel;Windows10;1.62;5563.65
Dell;15.6;Intel;1.6;8;256;SSD;AMD;Linux;2.2;2946.4725
Lenovo;14;Intel;1.6;8;256;SSD;Intel;Windows10;1.74;3910.65
Toshiba;13.3;Intel;2.5;8;256;SSD;Intel;Windows10;1.2;5929.05
HP;15.6;Intel;1.6;8;1000;HDD;Intel;Windows10;2.1;3453.9
Dell;17.3;Intel;2.8;16;256;SSD;Nvidia;Windows10;4.42;10685.079
Acer;15.6;Intel;2.7;8;256;SSD;Nvidia;Windows10;2.2;3619.2
Dell;15.6;Intel;2.7;16;1000;HDD;AMD;Windows10;2.3;3736.6935
Asus;15.6;Intel;2.5;8;256;SSD;Nvidia;Windows10;2;3345.15
Asus;17.3;Intel;2.5;8;256;SSD;Nvidia;Windows10;2.69;3875.85
HP;15.6;Intel;2.7;8;1000;HDD;AMD;Windows10;1.9;5520.15
Asus;15.6;Intel;2.4;4;1000;HDD;Intel;Windows10;2.37;1735.6065
HP;15.6;AMD;1.5;4;500;HDD;AMD;Windows10;2.1;1435.5
Lenovo;15.6;Intel;2.8;16;256;SSD;Nvidia;Windows10;3.2;6520.65
Dell;14;Intel;2.5;8;256;SSD;Intel;Windows10;1.6;3736.65
Acer;13.3;Intel;2.3;8;256;SSD;Intel;Windows10;1.6;2997.15
Dell;15.6;Intel;2.7;16;256;SSD;AMD;Linux;2.36;3910.65
Acer;15.6;Intel;2;4;1000;HDD;Intel;Linux;2.1;1696.5
Asus;15.6;AMD;2.5;4;128;SSD;AMD;Windows10;2.2;2501.25
Asus;17.3;Intel;2.9;32;512;SSD;Nvidia;Windows10;4.7;16921.5
Acer;15.6;Intel;2.5;8;256;SSD;Nvidia;Windows10;2.5;3680.1
Lenovo;15.6;Intel;2;8;128;SSD;Intel;Windows10;2.2;2562.15
Asus;17.3;Intel;1.8;8;128;SSD;Nvidia;Windows10;2.1;4980.75
Asus;17.3;Intel;2.7;8;128;SSD;Nvidia;NoOS;2.69;3867.15
Dell;15.6;Intel;2.5;8;256;SSD;Nvidia;Windows10;2.56;3823.65
Lenovo;13.9;Intel;2.7;8;256;SSD;Intel;Windows10;1.38;4693.65
Dell;15.6;Intel;1.8;8;128;SSD;AMD;Windows10;2.2;4284.75
HP;15.6;Intel;2.5;8;1000;HDD;Intel;Windows10;2.04;2431.65
Asus;17.3;Intel;2.9;16;256;SSD;Nvidia;Windows10;3.6;13045.65
HP;13.3;Intel;1.6;4;500;HDD;Intel;Windows10;1.49;2936.25
Apple;13.3;Intel;3.1;8;512;SSD;Intel;macOS;1.37;8874
Dell;15.6;Intel;1.8;8;1000;HDD;Intel;Windows10;2.08;3562.65
Asus;17.3;Intel;2.8;16;256;SSD;Nvidia;Windows10;4.3;7825.65
Asus;15.6;AMD;3;4;1000;HDD;AMD;Windows10;1.68;2040.15
Lenovo;13.9;Intel;1.8;8;512;SSD;Intel;Windows10;1.37;8043.15
Acer;17.3;Intel;2.7;4;256;SSD;Nvidia;Windows10;3;3053.7
Dell;13.3;Intel;1.6;8;256;SSD;Intel;Windows10;1.41;4128.15
HP;15.6;AMD;2.5;8;128;SSD;AMD;Windows10;1.91;1939.665
HP;17.3;Intel;1.8;16;1000;HDD;Nvidia;Windows10;2.9;4606.65
MSI;17.3;Intel;2.8;16;512;SSD;Nvidia;Windows10;4.14;10870.65
Lenovo;15.6;Intel;2.8;8;512;SSD;Nvidia;Windows10;2;7390.65
Dell;17.3;Intel;1.8;8;128;SSD;AMD;Windows10;2.8;4967.7
Lenovo;15.6;Intel;2;4;256;SSD;Intel;NoOS;2.2;1931.4
HP;15.6;Intel;1.6;4;500;HDD;Intel;Windows10;2.1;3140.7
Dell;15.6;Intel;2.5;4;1000;HDD;Intel;Windows10;2.18;2857.95
Dell;15.6;Intel;2.5;8;1000;HDD;AMD;Windows10;2.24;2457.75
Dell;15.6;Intel;1.6;8;256;SSD;Intel;Windows10;2.67;3475.65
Asus;13.3;Intel;1.8;8;512;SSD;Intel;Windows10;1.1;6520.65
Lenovo;15.6;Intel;2.5;4;1000;HDD;Intel;NoOS;2.2;2031.45
HP;17.3;Intel;1.8;8;1000;HDD;Nvidia;Windows10;2.5;4428.3
Lenovo;15.6;Intel;1.8;8;256;SSD;Intel;Windows10;2.05;3828
Apple;13.3;Intel;2.9;8;512;SSD;Intel;macOS;1.37;8521.215
Asus;17.3;AMD;3;16;256;SSD;AMD;Windows10;3.2;6738.15
Dell;15.6;Intel;1.8;8;256;SSD;AMD;Linux;2.14;3197.5545
Lenovo;14;Intel;2.6;16;512;SSD;Intel;Windows10;1.36;10870.65
Toshiba;15.6;Intel;2.5;8;500;HDD;Nvidia;Windows10;2.2;3532.2
Dell;15.6;Intel;2.7;12;1000;HDD;Intel;Windows10;2.3;3101.8545
Dell;17.3;Intel;1.8;8;128;SSD;AMD;Linux;2.8;4780.65
Acer;15.6;Intel;1.8;8;1000;HDD;Nvidia;Windows10;2.2;3240.75
Lenovo;17.3;Intel;2;4;1000;HDD;Intel;Windows10;2.8;2127.15
Lenovo;17.3;Intel;1.8;8;2000;HDD;Nvidia;NoOS;2.8;3693.15
Lenovo;17.3;Intel;2.7;6;128;SSD;Nvidia;Windows10;2.8;3736.65
Dell;15.6;Intel;2;4;1000;HDD;AMD;Linux;2.25;1861.8
Lenovo;15.6;Intel;2.5;8;256;SSD;Nvidia;Windows10;2.5;3606.15
Lenovo;15.6;Intel;2.5;6;256;SSD;Intel;Windows10;2.2;2518.65
Acer;15.6;Intel;1.8;8;256;SSD;Nvidia;Windows10;3;4136.85
Acer;15.6;Intel;2.7;12;1000;HDD;Intel;Windows10;2.15;2866.65
Lenovo;15.6;Intel;2.7;8;256;SSD;Intel;Windows10;1.95;4771.95
Asus;15.6;Intel;2.5;8;256;SSD;Nvidia;Windows10;1.7;4249.95
Lenovo;15.6;Intel;2.8;16;256;SSD;Nvidia;Windows10;2.5;5128.65
Lenovo;15.6;Intel;2.7;8;1000;HDD;Nvidia;NoOS;2.2;2866.6935
Acer;15.6;Intel;1.5;2;16;SSD;Intel;ChromeOS;2.19;865.65
Asus;17.3;Intel;2.8;8;1000;HDD;Nvidia;Windows10;3;5163.45
HP;17.3;Intel;2;8;1000;HDD;Intel;Windows10;2.54;2127.15
Dell;15.6;Intel;2.8;8;256;SSD;Nvidia;Windows10;2;7956.15
Lenovo;15.6;Intel;1.6;8;256;SSD;Intel;Windows10;2.05;3214.65
Lenovo;15.6;Intel;2.8;8;1000;HDD;Nvidia;Windows10;3.2;5650.65
Acer;15.6;Intel;2.8;8;256;SSD;Nvidia;Linux;2.5;4258.65
Dell;17.3;Intel;2.9;16;256;SSD;Nvidia;Windows10;3.42;12549.141
Lenovo;15.6;AMD;2.4;6;1000;HDD;AMD;Windows10;2.4;2170.65
Asus;15.6;Intel;2.7;16;512;SSD;Nvidia;Windows10;1.63;6385.8
Asus;14;Intel;2.4;4;128;SSD;Intel;Windows10;1.3;2214.15
Asus;17.3;Intel;2.8;16;256;SSD;Nvidia;Windows10;2.9;9230.7
Lenovo;17.3;Intel;2.5;6;1000;HDD;Nvidia;Windows10;2.8;2823.15
Lenovo;15.6;Intel;2.5;8;2000;HDD;Nvidia;NoOS;2.2;2388.15
Asus;15.6;Intel;2.8;8;128;SSD;Nvidia;Windows10;2.5;5502.75
Lenovo;15.6;Intel;1.1;4;1000;HDD;Intel;NoOS;2.2;1565.9565
HP;13.3;Intel;2.8;16;256;SSD;Intel;Windows10;1.28;8591.25
Toshiba;15.6;Intel;2.5;8;256;SSD;Nvidia;Windows10;2.2;4537.05
Lenovo;15.6;Intel;2.5;8;128;SSD;Nvidia;Windows10;2.3;3562.65
HP;15.6;Intel;2;4;1000;HDD;Intel;Windows10;1.86;2040.15
Lenovo;13.3;Intel;2.5;8;256;SSD;Intel;Windows10;1.1;4345.65
Dell;13.3;Intel;1.8;16;1000;SSD;Intel;Windows10;1.21;10870.65
MSI;15.6;Intel;2.8;16;256;SSD;Nvidia;Windows10;2.8;9130.65
Acer;15.6;AMD;2.2;8;256;SSD;AMD;Windows10;2.23;2040.15
Asus;11.6;Intel;1.1;2;32;FlashStorage;Intel;Windows10;1.1;1196.25
Dell;15.6;Intel;1.6;8;128;SSD;AMD;Windows10;2.33;3671.4
HP;13.3;Intel;1.8;16;1000;SSD;Intel;Windows10;1.29;10653.15
Lenovo;13.3;Intel;1.6;4;16;FlashStorage;Intel;ChromeOS;1.45;2000.565
HP;14;Intel;2.5;8;256;SSD;Intel;Windows10;1.95;4263
Acer;11.6;Intel;1.6;4;128;FlashStorage;Intel;Windows10;1.4;2109.75
HP;14;Intel;2.7;8;256;SSD;Intel;Windows10;1.48;5620.2
Lenovo;17.3;Intel;2.5;4;1000;HDD;Nvidia;Windows10;2.79;2562.15
Asus;14;Intel;2.7;8;256;SSD;Intel;Windows10;2;4758.9
HP;15.6;Intel;1.8;8;1000;HDD;Intel;Windows10;2.1;3923.7
